fdas,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
                          절 단  및  압 착 (Cut and Crimp),,,,,,,,,,,㈜세림전자 (SerimElectronics),,,,,,,,,,
,62,,WHT,,1,2.5,완,2.2,완,,ST731509-3T,SXA-001T-P0.6L,,CN40 #17,,ASSY 제빙기 JOINT #1,2.5,2.2,WB20L-61209,,#REF!
,68,1007#26/A,W/RED,500,1,2.5,완,2.2,완,,ST731509-3T,SXA-001T-P0.6L,,CN40 #27,,ASSY 제빙기 JOINT #3,2.5,2.2,WB20L-61209,,#REF!
,56,2468#26 3C (BLK/WHT),BLK,480,1,2.5,완,3,완,,ST731509-3T,ST741461-3T,,CN40 #9,6,디스펜서 JOINT #1,2.5,3,WB20L-61209,25045TP,#REF!
,57,,WHT,,1,2.5,완,3,완,,ST731509-3T,ST741461-3T,,CN40 #11,,디스펜서 JOINT #2,2.5,3,WB20L-61209,25045TP,#REF!
,58,,WHT,,1,2.5,완,3,완,,ST731509-3T,ST741461-3T,,CN40 #13,,디스펜서 JOINT #3,2.5,3,WB20L-61209,25045TP,#REF!
,,,,,1,,,,,,,,,,,,,,,,
"1767C-2
",20,2468#26 5C (ORG/WHT),ORG,370,1,2.5,완,3,완,,ST731509-3T,ST741461-3T,1,CN50 #1,5,STEP VALVE JOINT #1,2.5,3,WB20L-61209,25045TP,"1767C-2
"
,21,,WHT,,1,2.5,완,3,완,,ST731509-3T,ST741461-3T,,CN50 #3,,STEP VALVE JOINT #2,2.5,3,WB20L-61209,25045TP,"1767C-2
"
,22,,WHT,,1,2.5,완,3,완,,ST731509-3T,ST741461-3T,,CN50 #5,,STEP VALVE JOINT #3,2.5,3,WB20L-61209,25045TP,"1767C-2
"
,23,,WHT,,1,2.5,완,3,완,,ST731509-3T,ST741461-3T,,CN50 #7,,STEP VALVE JOINT #4,2.5,3,WB20L-61209,25045TP,"1767C-2
"
,24,,WHT,,1,2.5,완,3,완,,ST731509-3T,ST741461-3T,,CN50 #9,,STEP VALVE JOINT #5,2.5,3,WB20L-61209,25045TP,"1767C-2
"
,25,2468#26 5C (BLK/WHT),BLK,370,1,2.5,완,3,완,,ST731509-3T,ST741461-3T,,CN50 #11,,STEP VALVE JOINT #6,2.5,3,WB20L-61209,25045TP,"1767C-2
"
,26,,WHT,,1,2.5,완,3,완,,ST731509-3T,ST741461-3T,,CN50 #13,,STEP VALVE JOINT #7,2.5,3,WB20L-61209,25045TP,"1767C-2
"
,27,,WHT,,1,2.5,완,3,완,,ST731509-3T,ST741461-3T,,CN50 #15,,STEP VALVE JOINT #8,2.5,3,WB20L-61209,25045TP,"1767C-2
"
,28,,WHT,,1,2.5,완,3,완,,ST731509-3T,ST741461-3T,,CN50 #17,,STEP VALVE JOINT #9,2.5,3,WB20L-61209,25045TP,"1767C-2
"
,29,,WHT,,1,2.5,완,3,완,,ST731509-3T,ST741461-3T,,CN50 #19,,STEP VALVE JOINT #10,2.5,3,WB20L-61209,25045TP,"1767C-2
"
,30,1007#22/A,GRN,600,1,1.9,완,3,완,,ST731509-3S,ST741461-3T,,CN50 #21,6,디스펜서 JOINT #6,1.9,3,WB20L-66209,25045TP,"1767C-2
"
,31,1007#22/A,BLK,600,1,1.9,완,3,완,,ST731509-3S,ST741461-3T,,CN50 #23,,디스펜서 JOINT #7,1.9,3,WB20L-66209,25045TP,"1767C-2
"
,32,2468#26 5C (BLK/WHT),BLK,620,1,2.5,완,2.2,완,,ST731509-3T,SXA-001T-P0.6L,,CN50 #2,4,ASSY 제빙기 JOINT #5,2.5,2.2,WB20L-61209,,"1767C-2
"
,33,,WHT,,1,2.5,완,2.2,완,,ST731509-3T,SXA-001T-P0.6L,,CN50 #4,,ASSY 제빙기 JOINT #6,2.5,2.2,WB20L-61209,,"1767C-2
"
,34,,WHT,,1,2.5,완,2.2,완,,ST731509-3T,SXA-001T-P0.6L,,CN50 #6,,ASSY 제빙기 JOINT #7,2.5,2.2,WB20L-61209,,"1767C-2
"
,35,,WHT,,1,2.5,완,2.2,완,,ST731509-3T,SXA-001T-P0.6L,,CN50 #8,,ASSY 제빙기 JOINT #8,2.5,2.2,WB20L-61209,,"1767C-2
"
,36,,WHT,,1,2.5,완,2.2,완,,ST731509-3T,SXA-001T-P0.6L,,CN50 #10,,ASSY 제빙기 JOINT #9,2.5,2.2,WB20L-61209,,"1767C-2
"
,37,2468#26 6C (ORG/WHT),ORG,620,1,2.5,완,2.2,완,,ST731509-3T,SXA-001T-P0.6L,,CN50 #16,,ASSY 제빙기 JOINT #10,2.5,2.2,WB20L-61209,,"1767C-2
"
,38,,WHT,,1,2.5,완,2.2,완,,ST731509-3T,SXA-001T-P0.6L,,CN50 #18,,ASSY 제빙기 JOINT #11,2.5,2.2,WB20L-61209,,"1767C-2
"
,39,,WHT,,1,2.5,완,2.2,완,,ST731509-3T,SXA-001T-P0.6L,,CN50 #20,,ASSY 제빙기 JOINT #12,2.5,2.2,WB20L-61209,,"1767C-2
"
,40,,WHT,,1,2.5,완,2.2,완,,ST731509-3T,SXA-001T-P0.6L,,CN50 #22,,ASSY 제빙기 JOINT #13,2.5,2.2,WB20L-61209,,"1767C-2
"
,41,,WHT,,1,2.5,완,2.2,완,,ST731509-3T,SXA-001T-P0.6L,,CN50 #24,,ASSY 제빙기 JOINT #14,2.5,2.2,WB20L-61209,,"1767C-2
"
,42,,WHT,,1,2.5,완,2.2,완,,ST731509-3T,SXA-001T-P0.6L,,CN50 #26,,ASSY 제빙기 JOINT #15,2.5,2.2,WB20L-61209,,"1767C-2
"
,43,1007#26/A,RED,620,1,2.5,완,2.2,완,,ST731509-3T,SXA-001T-P0.6L,,CN50 #25,,ASSY 제빙기 JOINT #16,2.5,2.2,WB20L-61209,,"1767C-2
"
,,,,,,,,,,,,,,,,,,,,,
"1767C-3
",52,2468#26 2C (ORG/WHT),ORG,110,1,2.5,완,1.9,완,,ST731509-3T,ST731454-3SS,3,CN60 #21,8,MAIN PBA JOINT 2 #1,2.5,1.9,WB20L-61209,YST025L3,#REF!
,53,,WHT,,1,2.5,완,1.9,완,,ST731509-3T,ST731454-3SS,,CN60 #19,,MAIN PBA JOINT 2 #2,2.5,1.9,WB20L-61209,YST025L3,#REF!
,44,2468#26 5C (ORG/WHT),ORG,110,1,2.5,완,1.9,완,,ST731509-3T,ST731454-3SS,,CN60 #1,,MAIN PBA JOINT 2 #8,2.5,1.9,WB20L-61209,YST025L3,"1767C-3
"
,45,,WHT,,1,2.5,완,1.9,완,,ST731509-3T,ST731454-3SS,,CN60 #3,,MAIN PBA JOINT 2 #9,2.5,1.9,WB20L-61209,YST025L3,"1767C-3
"
,46,,WHT,,1,2.5,완,1.9,완,,ST731509-3T,ST731454-3SS,,CN60 #5,,MAIN PBA JOINT 2 #10,2.5,1.9,WB20L-61209,YST025L3,"1767C-3
"
,47,,WHT,,1,2.5,완,1.9,완,,ST731509-3T,ST731454-3SS,,CN60 #7,,MAIN PBA JOINT 2 #11,2.5,1.9,WB20L-61209,YST025L3,"1767C-3
"
,48,,WHT,,1,2.5,완,1.9,완,,ST731509-3T,ST731454-3SS,,CN60 #9,,MAIN PBA JOINT 2 #12,2.5,1.9,WB20L-61209,YST025L3,"1767C-3
"
,49,2468#26 3C (BLK/WHT),BLK,95,1,2.5,완,1.9,완,,ST731509-3T,ST731454-3SS,,CN60 #11,7,MAIN PBA JOINT #1,2.5,1.9,WB20L-61209,YST025L3,"1767C-3
"
,50,,WHT,,1,2.5,완,1.9,완,,ST731509-3T,ST731454-3SS,,CN60 #13,,MAIN PBA JOINT #2,2.5,1.9,WB20L-61209,YST025L3,"1767C-3
"
,51,,WHT,,1,2.5,완,1.9,완,,ST731509-3T,ST731454-3SS,,CN60 #15,,MAIN PBA JOINT #3,2.5,1.9,WB20L-61209,YST025L3,"1767C-3
"
,65,2468#26 3C (BLU/WHT),BLU,95,1,2.5,완,1.9,완,,ST731509-3T,ST731454-3SS,,CN60 #2,,MAIN PBA JOINT #4,2.5,1.9,WB20L-61209,YST025L3,"1767C-3
"
,66,,WHT,,1,2.5,완,1.9,완,,ST731509-3T,ST731454-3SS,,CN60 #4,,MAIN PBA JOINT #5,2.5,1.9,WB20L-61209,YST025L3,"1767C-3
"
,67,,WHT,,1,2.5,완,1.9,완,,ST731509-3T,ST731454-3SS,,CN60 #6,,MAIN PBA JOINT #6,2.5,1.9,WB20L-61209,YST025L3,"1767C-3
"
